datetime,open,high,low,close,volume
2023-05-30 16:30:00+00:00,1.0725,1.07274,1.07226,1.0723,777
2023-05-30 16:45:00+00:00,1.0723,1.07267,1.07208,1.07208,774
2023-05-30 17:00:00+00:00,1.07205,1.07216,1.07142,1.07168,768
2023-05-30 17:15:00+00:00,1.07167,1.07194,1.07153,1.07165,624
2023-05-30 17:30:00+00:00,1.07164,1.07196,1.07144,1.07182,744
2023-05-30 17:45:00+00:00,1.0718,1.0719,1.07164,1.0717,573
2023-05-30 18:00:00+00:00,1.07168,1.07173,1.07142,1.07168,760
2023-05-30 18:15:00+00:00,1.07168,1.07192,1.07162,1.07176,639
2023-05-30 18:30:00+00:00,1.07178,1.07194,1.0717,1.07182,699
2023-05-30 18:45:00+00:00,1.0718,1.0721,1.07178,1.07196,745
2023-05-30 19:00:00+00:00,1.07195,1.07254,1.0718,1.07252,844
2023-05-30 19:15:00+00:00,1.07252,1.07292,1.07248,1.0727,733
2023-05-30 19:30:00+00:00,1.0727,1.073,1.0727,1.07286,640
2023-05-30 19:45:00+00:00,1.07284,1.07304,1.0728,1.073,743
2023-05-30 20:00:00+00:00,1.073,1.07305,1.07272,1.07302,462
2023-05-30 20:15:00+00:00,1.07301,1.07338,1.07297,1.0732,403
2023-05-30 20:30:00+00:00,1.0732,1.07348,1.07318,1.0734,205
2023-05-30 20:45:00+00:00,1.07339,1.07349,1.07337,1.07342,283
2023-05-30 21:00:00+00:00,1.0729,1.0732,1.07274,1.07314,71
2023-05-30 21:15:00+00:00,1.07313,1.07335,1.07306,1.07326,118
2023-05-30 21:30:00+00:00,1.07326,1.07344,1.07326,1.07338,219
2023-05-30 21:45:00+00:00,1.07337,1.0735,1.07322,1.07336,118
2023-05-30 22:00:00+00:00,1.07333,1.07348,1.07328,1.07332,175
2023-05-30 22:15:00+00:00,1.07329,1.07335,1.07311,1.07313,200
2023-05-30 22:30:00+00:00,1.07313,1.07334,1.07313,1.07334,96
2023-05-30 22:45:00+00:00,1.07333,1.07336,1.07316,1.07322,140
2023-05-30 23:00:00+00:00,1.07323,1.07336,1.07316,1.07322,212
2023-05-30 23:15:00+00:00,1.07321,1.07357,1.07321,1.0735,181
2023-05-30 23:30:00+00:00,1.07348,1.07358,1.07329,1.07332,312
2023-05-30 23:45:00+00:00,1.0733,1.07334,1.07306,1.07318,312
2023-05-31 00:00:00+00:00,1.07318,1.07332,1.0728,1.07286,534
2023-05-31 00:15:00+00:00,1.07286,1.07322,1.07274,1.07307,459
2023-05-31 00:30:00+00:00,1.07307,1.0732,1.07288,1.07307,486
2023-05-31 00:45:00+00:00,1.07306,1.07356,1.07294,1.07352,834
2023-05-31 01:00:00+00:00,1.07352,1.07355,1.07326,1.07346,636
2023-05-31 01:15:00+00:00,1.07344,1.07346,1.07297,1.07306,623
2023-05-31 01:30:00+00:00,1.07305,1.07341,1.07166,1.07168,1272
2023-05-31 01:45:00+00:00,1.0717,1.0718,1.0712,1.07134,1131
2023-05-31 02:00:00+00:00,1.07134,1.07148,1.07094,1.07112,948
2023-05-31 02:15:00+00:00,1.07112,1.07119,1.07076,1.07082,708
2023-05-31 02:30:00+00:00,1.07082,1.07084,1.07042,1.07054,571
2023-05-31 02:45:00+00:00,1.07053,1.07055,1.07028,1.07047,686
2023-05-31 03:00:00+00:00,1.07048,1.07052,1.0699,1.06991,790
2023-05-31 03:15:00+00:00,1.06989,1.06992,1.0695,1.06988,566
