equity,drawdown,position
9999.710619999993,1.324036561967975e-06,1
9999.703829999993,2.0030553123372657e-06,1
9999.698189999994,2.567070887003624e-06,1
9999.692689999994,3.1170860750531778e-06,1
9999.688179999994,3.5680985293775067e-06,1
9999.683479999994,4.038111508266139e-06,1
9999.678439999994,4.542125426107282e-06,1
9999.673929999994,4.993137880431611e-06,1
9999.669199999993,5.466150942270645e-06,1
9999.664309999993,5.955164445905484e-06,1
9999.659809999994,6.405176872458409e-06,1
9999.654259999994,6.960192198637366e-06,1
9999.648699999994,7.516207552405822e-06,1
9999.642579999994,8.128224452641495e-06,1
9999.636379999994,8.74824157377507e-06,1
9999.630299999995,9.35625836347084e-06,1
9999.624079999996,9.978275539783415e-06,1
9999.617539999996,1.06322935998695e-05,1
9999.611459999996,1.1240310389565271e-05,1
9999.604959999997,1.1890328339111453e-05,1
9999.599079999996,1.2478344576653421e-05,1
9999.592499999997,1.3136362747097506e-05,1
9999.586119999996,1.3774380365387787e-05,1
9999.581009999996,1.4285394476537332e-05,1
9999.575789999997,1.4807408891353277e-05,1
9999.570909999997,1.5295422367398616e-05,1
9999.566129999997,1.577343556718515e-05,1
9999.562589999998,1.612744534278135e-05,1
9999.559909999998,1.6395452743497726e-05,1
9999.557169999998,1.6669460309933002e-05,1
9999.555129999999,1.6873465943284257e-05,1
9999.553409999999,1.704547069304391e-05,1
9999.551109999999,1.7275477044449773e-05,1
9999.548549999998,1.7531484113910247e-05,1
9999.546599999998,1.77264894987741e-05,1
9999.544959999997,1.789049402763585e-05,1
9999.543319999997,1.8054498556497596e-05,1
9999.541079999997,1.827850474218456e-05,1
9999.539519999997,1.8434509050148405e-05,1
9999.538619999998,1.8524511535386228e-05,1
9999.537359999998,1.8650515014755563e-05,1
9999.5356,1.8826519874873208e-05,1
9999.533519999999,1.903452561876437e-05,1
9999.53226,1.9160529098133703e-05,1
9999.531069999999,1.9279532384376536e-05,1
9999.529149999998,1.9471537686471895e-05,1
9999.526409999999,1.974554525290717e-05,1
9999.52343,2.0043553482036154e-05,1
9999.520069999999,2.037956276065755e-05,1
9999.516829999999,2.070357170784114e-05,1
9999.51449,2.0937578169605006e-05,1
9999.51225,2.1161584355291968e-05,1
9999.50965,2.1421591535110442e-05,1
9999.50695,2.1691598991005816e-05,1
9999.504550000001,2.1931605618488583e-05,1
9999.50271,2.2115610699686036e-05,1
9999.500810000001,2.230561594642049e-05,1
9999.499200000002,2.246662039233183e-05,1
9999.496460000002,2.274062795876711e-05,1
9999.493200000003,2.30666369611297e-05,1
9999.488980000002,2.348864861463092e-05,1
9999.484080000002,2.397866214585526e-05,1
9999.480160000003,2.437067297076197e-05,1
9999.476800000002,2.4706682249383365e-05,1
9999.473700000002,2.5016690809950153e-05,1
9999.471160000003,2.5270697824049725e-05,1
9999.469140000003,2.547270340222198e-05,1
9999.466520000004,2.5734710637219454e-05,1
9999.463860000003,2.6000717982756827e-05,1
9999.460860000003,2.6300726267246716e-05,1
9999.457760000003,2.66107348278135e-05,1
9999.454880000003,2.6898742780865585e-05,1
9999.451350000003,2.7251752528872282e-05,1
9999.448690000003,2.751775987440966e-05,1
9999.446480000002,2.7738765977328123e-05,1
9999.444500000003,2.7936771444960475e-05,1
9999.443460000004,2.8040774316815103e-05,1
9999.443020000004,2.8084775531844518e-05,1
9999.441460000004,2.824077983980836e-05,1
9999.440160000004,2.8370783429717598e-05,1
9999.439440000004,2.844278541798062e-05,1
9999.439040000003,2.8482786522652034e-05,1
9999.437940000003,2.8592789560225563e-05,1
9999.436820000003,2.8704792653159996e-05,1
9999.436160000003,2.8770794475704114e-05,1
9999.435240000003,2.886279701630284e-05,1
9999.434060000003,2.898080027477427e-05,1
9999.432660000004,2.912080414076041e-05,1
9999.431320000003,2.925480784120955e-05,1
9999.430260000003,2.936081076842508e-05,1
9999.428900000003,2.949681452405322e-05,1
9999.427090000003,2.967781952230027e-05,1
9999.424570000003,2.992982648122084e-05,1
9999.421920000003,3.0194833799168716e-05,1
9999.419180000003,3.0468841365603995e-05,1
9999.415430000003,3.7502178200059016e-07,1
9999.411270000002,7.910459455571524e-07,1
9999.406630000003,1.2550728970904575e-06,1
9999.401350000004,1.783103566107996e-06,1
9999.396370000004,2.2811324925945928e-06,1
9999.391610000004,2.7571601412130383e-06,1
9999.386650000004,3.253188951579415e-06,1
9999.381020000004,3.816221653610355e-06,1
9999.375840000004,4.334251741844883e-06,1
9999.370620000005,4.8562820623198514e-06,1
9999.365120000006,5.406314009205541e-06,1
9999.359920000006,5.926344213560289e-06,1
9999.354790000007,6.4393740113123565e-06,1
9999.349410000006,6.977405261294815e-06,1
9999.342680000007,7.650444352666512e-06,1
9999.335240000008,8.394487568125122e-06,1
9999.327860000009,9.132530435041161e-06,1
9999.321040000008,9.814570049317667e-06,1
9999.314180000008,1.0500609895834615e-05,1
9999.307680000009,1.115064765127805e-05,1
9999.301640000009,1.1754682734864962e-05,1
