action,equity,position
BUY,9999.03947000001,1
BUY,9999.03539000001,1
BUY,9999.03156000001,1
BUY,9999.02748000001,1
BUY,9999.02246000001,1
BUY,9999.017440000009,1
BUY,9999.012420000008,1
BUY,9999.007390000008,1
BUY,9999.002350000008,1
BUY,9998.997780000009,1
BUY,9998.992260000008,1
BUY,9998.987980000009,1
BUY,9998.983980000008,1
BUY,9998.980160000008,1
BUY,9998.976540000009,1
BUY,9998.97306000001,1
BUY,9998.96835000001,1
BUY,9998.96387000001,1
BUY,9998.95899000001,1
BUY,9998.953410000011,1
BUY,9998.948010000011,1
BUY,9998.943230000012,1
BUY,9998.938570000011,1
BUY,9998.93414000001,1
BUY,9998.929860000011,1
BUY,9998.925360000012,1
BUY,9998.920960000012,1
BUY,9998.916840000013,1
BUY,9998.913030000012,1
BUY,9998.909520000012,1
BUY,9998.906730000012,1
BUY,9998.904390000012,1
BUY,9998.902130000013,1
BUY,9998.899650000014,1
BUY,9998.897090000013,1
BUY,9998.893920000013,1
BUY,9998.890420000012,1
BUY,9998.885000000013,1
BUY,9998.878150000013,1
BUY,9998.872410000013,1
BUY,9998.867390000012,1
BUY,9998.863400000013,1
BUY,9998.858230000013,1
BUY,9998.852610000013,1
BUY,9998.846220000012,1
BUY,9998.841140000011,1
BUY,9998.835500000012,1
BUY,9998.829850000013,1
BUY,9998.825250000013,1
BUY,9998.820310000012,1
BUY,9998.815290000011,1
BUY,9998.810430000012,1
BUY,9998.805980000012,1
BUY,9998.801740000012,1
BUY,9998.796780000011,1
BUY,9998.791600000011,1
BUY,9998.786000000011,1
BUY,9998.78026000001,1
BUY,9998.775400000011,1
BUY,9998.771480000012,1
BUY,9998.768660000012,1
BUY,9998.764460000013,1
BUY,9998.759560000013,1
BUY,9998.754170000013,1
BUY,9998.749430000013,1
BUY,9998.746590000013,1
BUY,9998.743050000014,1
BUY,9998.738830000013,1
BUY,9998.735710000014,1
BUY,9998.735610000014,1
BUY,9998.733460000014,1
BUY,9998.730740000014,1
BUY,9998.728880000013,1
BUY,9998.727650000013,1
BUY,9998.726250000014,1
BUY,9998.726410000014,1
BUY,9998.725740000014,1
BUY,9998.725730000015,1
BUY,9998.726860000015,1
BUY,9998.728140000016,1
BUY,9998.729580000016,1
BUY,9998.730450000015,1
BUY,9998.730530000015,1
BUY,9998.731060000015,1
BUY,9998.732010000014,1
BUY,9998.732670000014,1
BUY,9998.734010000015,1
BUY,9998.735830000014,1
BUY,9998.737590000013,1
BUY,9998.739690000013,1
BUY,9998.741870000013,1
BUY,9998.744130000012,1
BUY,9998.746500000012,1
BUY,9998.748680000012,1
BUY,9998.750860000011,1
BUY,9998.753020000011,1
BUY,9998.75514000001,1
BUY,9998.75712000001,1
BUY,9998.75920000001,1
BUY,9998.76080000001,1
BUY,9998.762100000009,1
BUY,9998.76366000001,1
BUY,9998.76493000001,1
BUY,9998.76559000001,1
BUY,9998.76623000001,1
BUY,9998.76711000001,1
BUY,9998.76787000001,1
BUY,9998.769430000011,1
BUY,9998.770050000012,1
