step,action,pre_position,post_position,pre_equity,post_equity,reward,cost_incurred
77,BUY,1,1,9999.800589999993,9999.792349999994,0.44176000000079507,0.0
78,BUY,1,1,9999.792349999994,9999.784109999995,0.44176000000079507,0.0
79,BUY,1,1,9999.784109999995,9999.776569999995,0.4424599999994825,0.0
80,BUY,1,1,9999.776569999995,9999.770259999994,0.4436899999993329,0.0
81,BUY,1,1,9999.770259999994,9999.764159999993,0.4438999999994848,0.0
82,BUY,1,1,9999.764159999993,9999.758059999993,0.4438999999994848,0.0
83,BUY,1,1,9999.758059999993,9999.751279999993,0.44322000000029216,0.0
84,BUY,1,1,9999.751279999993,9999.744539999992,0.4432599999992817,0.0
85,BUY,1,1,9999.744539999992,9999.737539999993,0.44300000000039286,0.0
86,BUY,1,1,9999.737539999993,9999.730919999993,0.4433799999998882,0.0
87,BUY,1,1,9999.730919999993,9999.723859999993,0.4429400000000896,0.0
88,BUY,1,1,9999.723859999993,9999.716679999992,0.44281999999948307,0.0
89,BUY,1,1,9999.716679999992,9999.710619999993,0.4439400000002933,0.0
90,BUY,1,1,9999.710619999993,9999.703829999993,0.4432100000005448,0.0
91,BUY,1,1,9999.703829999993,9999.698189999994,0.44436000000059717,0.0
92,BUY,1,1,9999.698189999994,9999.692689999994,0.44450000000069845,0.0
93,BUY,1,1,9999.692689999994,9999.688179999994,0.4454899999993358,0.0
94,BUY,1,1,9999.688179999994,9999.683479999994,0.44530000000049763,0.0
95,BUY,1,1,9999.683479999994,9999.678439999994,0.4449599999999918,0.0
96,BUY,1,1,9999.678439999994,9999.673929999994,0.4454899999993358,0.0
97,BUY,1,1,9999.673929999994,9999.669199999993,0.4452699999994365,0.0
98,BUY,1,1,9999.669199999993,9999.664309999993,0.44510999999984047,0.0
99,BUY,1,1,9999.664309999993,9999.659809999994,0.4455000000009022,0.0
100,BUY,1,1,9999.659809999994,9999.654259999994,0.44445000000014256,0.0
101,BUY,1,1,9999.654259999994,9999.648699999994,0.4434400000003952,0.0
102,BUY,1,1,9999.648699999994,9999.642579999994,0.44187999999999006,0.0
103,BUY,1,1,9999.642579999994,9999.636379999994,0.44080000000019204,0.0
104,BUY,1,1,9999.636379999994,9999.630299999995,0.43992000000079856,0.0
105,BUY,1,1,9999.630299999995,9999.624079999996,0.4387800000006973,0.0
106,BUY,1,1,9999.624079999996,9999.617539999996,0.4374599999996862,0.0
